"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
2021,102,60,6180,"Corner","1Story",6,5,1926,1950,"TA","TA","BrkTil","TA","TA","Unf",0,960,960,"GasA","TA","N",986,0,986,0,0,1,0,2,"TA",5,1,"Detchd",1,180,"TA","TA",0,128,0,0
2141,112.5,70,7700,"Corner","1Story",5,5,1972,1972,"TA","TA","CBlock","TA","TA","LwQ",138,276,882,"GasA","TA","Y",882,0,882,1,0,1,0,3,"TA",5,0,"Detchd",2,461,"TA","TA",96,0,0,0
658,114,80,8146,"Corner","2Story",4,8,1900,2003,"Gd","Gd","BrkTil","Fa","TA","Unf",0,405,405,"GasA","Gd","Y",717,322,1039,0,0,1,0,2,"TA",6,0,"Detchd",1,281,"TA","TA",0,0,168,111
2673,202.5,69,11737,"Inside","2Story",6,7,1924,1996,"TA","TA","BrkTil","TA","TA","Unf",0,848,848,"GasW","TA","N",1017,810,1827,0,0,1,0,2,"TA",9,1,"Detchd",1,240,"Fa","TA",27,36,42,0
1255,89.9,60,10122,"Inside","1Story",4,6,1948,1950,"TA","TA","Slab","None","None","None",0,0,0,"GasA","TA","N",869,0,869,0,0,1,0,1,"TA",3,0,"Detchd",1,390,"Fa","TA",0,0,66,0
2192,125,60,8172,"Inside","1Story",4,5,1955,1955,"TA","TA","CBlock","TA","TA","BLQ",544,224,768,"GasA","TA","Y",768,0,768,0,0,1,0,2,"TA",4,1,"Detchd",1,355,"TA","TA",0,0,196,0
618,175,90,9900,"Inside","1Story",6,5,1967,1967,"Gd","TA","CBlock","TA","TA","Rec",1173,507,1680,"GasA","TA","Y",1691,0,1691,1,0,1,0,2,"TA",5,0,"Attchd",2,550,"Gd","TA",0,67,260,0
2173,110,80,8240,"Inside","1Story",6,6,1960,1960,"TA","TA","CBlock","TA","TA","Unf",0,1179,1179,"GasA","Gd","Y",1179,0,1179,0,0,1,0,2,"TA",5,0,"Attchd",2,622,"TA","TA",0,0,0,0
736,117,50,6000,"Corner","1.5Fin",5,8,1925,1997,"TA","TA","BrkTil","TA","TA","Unf",0,884,884,"GasA","Ex","Y",884,464,1348,1,0,1,0,3,"TA",5,1,"Detchd",1,216,"TA","TA",0,0,208,0
2030,117,40,5680,"Inside","1.5Fin",5,3,1901,1950,"TA","TA","CBlock","TA","TA","Unf",0,969,969,"GasA","TA","N",969,245,1214,0,0,1,0,2,"TA",6,0,"Detchd",1,216,"TA","TA",0,0,77,0
1074,266,63,8849,"Inside","1Story",9,5,2005,2005,"Ex","TA","PConc","Ex","TA","GLQ",28,1656,1684,"GasA","Ex","Y",1684,0,1684,0,0,2,0,2,"Ex",6,1,"Attchd",2,564,"TA","TA",495,72,0,0
2745,93,77,8335,"Corner","1Story",5,5,1954,1954,"TA","TA","Slab","None","None","None",0,0,0,"GasA","Gd","Y",1124,0,1124,0,0,1,0,3,"TA",5,1,"None",0,0,"None","None",0,36,190,0
1394,140,85,13825,"Inside","SLvl",5,6,1958,1987,"TA","Gd","CBlock","TA","TA","Unf",0,533,533,"GasA","TA","Y",1021,580,1601,0,1,1,0,3,"TA",6,0,"BuiltIn",1,300,"TA","TA",280,34,0,0
1406,155,85,10452,"Inside","1Story",6,5,1953,1953,"TA","TA","CBlock","TA","TA","Rec",500,594,1094,"GasA","Ex","Y",1094,0,1094,0,0,1,0,3,"TA",5,2,"Attchd",2,495,"TA","TA",0,0,0,287
2022,200,47,7755,"Inside","2Story",6,8,1918,1995,"TA","Gd","CBlock","TA","TA","Unf",0,1100,1100,"GasA","Ex","Y",1100,1164,2264,0,0,2,1,4,"TA",8,0,"Detchd",1,408,"TA","TA",0,152,0,0
1028,292.5,0,12511,"Corner","2Story",7,7,1978,1978,"Gd","TA","PConc","Gd","TA","ALQ",988,432,1420,"GasA","Ex","Y",1420,1420,2840,0,1,2,1,4,"Gd",8,2,"Attchd",4,1314,"TA","Gd",0,16,0,208
1030,159.9,80,10400,"Inside","1Story",6,5,1976,1976,"TA","TA","CBlock","TA","TA","Unf",0,1444,1444,"GasA","TA","Y",1444,0,1444,0,0,2,0,2,"TA",5,1,"Attchd",2,473,"TA","TA",0,24,0,0
408,119.5,21,1680,"Inside","2Story",5,7,1972,1972,"TA","TA","CBlock","TA","TA","ALQ",231,399,630,"GasA","TA","Y",630,672,1302,0,0,2,1,3,"TA",6,0,"Detchd",1,264,"TA","TA",185,0,0,0
2538,124.4,0,9759,"Inside","1Story",5,5,1966,1966,"TA","TA","CBlock","TA","TA","BLQ",799,252,1051,"GasA","TA","Y",1051,0,1051,1,0,1,0,3,"TA",6,0,"Attchd",1,264,"TA","TA",182,88,0,0
2697,84.5,60,6780,"Inside","1.5Fin",6,8,1935,1982,"TA","Fa","CBlock","TA","TA","GLQ",490,30,520,"GasA","Gd","N",520,0,754,1,0,1,0,2,"TA",5,0,"None",0,0,"None","None",53,0,0,0
2201,175,60,7200,"Corner","1.5Fin",5,7,1937,1950,"TA","TA","BrkTil","Gd","TA","ALQ",569,162,731,"GasA","Ex","Y",981,787,1768,1,0,1,1,3,"Gd",7,2,"Detchd",1,240,"TA","TA",0,0,264,0
88,133,75,7500,"Corner","1Story",5,5,1963,1963,"TA","TA","CBlock","TA","TA","ALQ",824,216,1040,"GasA","Fa","Y",1040,0,1040,1,0,1,1,3,"TA",5,0,"Attchd",1,308,"TA","TA",0,0,220,0
208,140,76,7630,"Inside","2Story",5,9,1900,1996,"TA","Gd","BrkTil","Gd","TA","Unf",0,360,360,"GasA","Gd","Y",1032,780,1812,0,0,2,0,4,"Gd",8,1,"Detchd",2,672,"TA","TA",344,0,40,0
1281,140,71,7056,"Inside","2Story",6,5,1963,1963,"TA","TA","CBlock","TA","TA","BLQ",400,380,780,"GasA","TA","Y",983,813,1796,1,0,1,1,4,"TA",8,1,"Attchd",2,483,"TA","TA",0,50,0,0
2703,125,55,8250,"Inside","1Story",5,7,1935,1950,"TA","TA","Slab","None","None","None",0,0,0,"GasA","TA","N",1032,0,1032,0,0,1,0,2,"TA",6,1,"Detchd",1,260,"TA","TA",0,0,121,0
1141,163,50,8480,"Inside","2Story",6,5,1993,1994,"Gd","TA","PConc","Gd","TA","GLQ",602,284,886,"GasA","Ex","Y",886,794,1680,0,1,2,1,3,"Gd",7,0,"Attchd",2,474,"TA","TA",144,96,0,0
2669,125,65,9750,"Inside","1Story",5,5,1958,1958,"TA","TA","CBlock","TA","TA","Unf",0,960,960,"GasA","Ex","Y",960,0,960,0,0,1,0,3,"TA",5,0,"Detchd",2,624,"TA","TA",0,0,0,0
1655,192.35,80,10400,"Inside","1Story",6,5,1979,1999,"TA","TA","CBlock","Gd","TA","GLQ",903,356,1259,"GasA","Ex","Y",1353,0,1353,1,0,2,0,2,"TA",5,1,"Attchd",2,478,"TA","TA",240,141,0,0
1095,184,60,15384,"Inside","2Story",7,5,2004,2005,"Gd","TA","PConc","Gd","TA","GLQ",724,64,788,"GasA","Ex","Y",788,702,1490,1,0,2,1,3,"Gd",8,1,"Attchd",2,388,"TA","TA",100,75,0,0
98,149.5,24,2544,"Inside","2Story",7,5,2004,2005,"Gd","TA","PConc","Gd","TA","GLQ",368,190,600,"GasA","Ex","Y",600,600,1200,1,0,2,1,2,"Gd",4,0,"Detchd",2,480,"TA","TA",0,172,0,0
1318,128,35,6300,"Inside","2.5Unf",6,6,1914,2001,"TA","TA","CBlock","TA","TA","Unf",0,742,742,"GasA","Ex","Y",742,742,1484,0,0,2,0,3,"TA",9,1,"None",0,0,"None","None",0,291,134,0
1904,64,51,3500,"Inside","1.5Fin",3,5,1945,1950,"TA","TA","CBlock","TA","TA","LwQ",144,226,370,"GasA","TA","N",442,228,670,1,0,1,0,2,"Fa",4,0,"None",0,0,"None","None",0,21,0,0
2900,312.5,85,14331,"Inside","1Story",8,5,2002,2002,"Gd","TA","PConc","Ex","TA","GLQ",1274,526,1800,"GasA","Ex","Y",1800,0,1800,1,0,2,0,3,"Gd",7,1,"Attchd",3,765,"TA","TA",270,78,0,0
1004,181,100,10839,"Corner","2Story",6,5,1997,1998,"TA","TA","PConc","Gd","TA","Unf",0,926,926,"GasA","Ex","Y",926,678,1604,0,0,2,1,3,"TA",7,1,"Attchd",2,470,"TA","TA",0,36,0,0
606,167,100,10004,"Inside","1Story",6,6,1964,1964,"TA","TA","CBlock","TA","TA","Rec",196,975,1516,"GasA","TA","Y",1516,0,1516,0,0,1,1,3,"TA",6,0,"Attchd",2,472,"TA","TA",0,0,0,152
2537,140,70,8400,"Inside","SFoyer",5,6,1968,1968,"TA","TA","CBlock","Gd","TA","GLQ",744,89,833,"GasA","Gd","Y",898,0,898,1,0,1,0,3,"TA",6,0,"Attchd",1,326,"TA","TA",143,0,0,0
2628,119,75,8512,"Corner","1Story",5,5,1960,1960,"TA","TA","CBlock","TA","Fa","Unf",0,1556,1556,"GasA","TA","Y",1556,0,1556,0,0,2,0,4,"TA",8,0,"None",0,0,"None","None",0,0,0,0
665,106,60,10800,"Inside","1Story",5,7,1920,1950,"TA","TA","BrkTil","TA","TA","Unf",0,720,720,"GasA","TA","N",846,0,846,0,0,1,0,2,"Gd",4,0,"Detchd",2,576,"TA","TA",0,0,0,0
634,149.5,66,9240,"Inside","1Story",6,8,1959,1998,"Gd","TA","CBlock","TA","TA","ALQ",708,280,988,"GasA","TA","Y",988,0,988,1,0,2,0,3,"Gd",6,0,"Attchd",1,297,"TA","TA",156,0,0,0
2132,217.5,0,8826,"Inside","2Story",7,5,2000,2000,"Gd","TA","PConc","Gd","TA","GLQ",841,144,985,"GasA","Ex","Y",985,857,1842,1,0,2,1,3,"Gd",7,1,"Attchd",2,486,"TA","TA",193,96,0,0
2791,222,0,9930,"Inside","2Story",7,5,2002,2002,"Gd","TA","PConc","Gd","TA","GLQ",456,370,826,"GasA","Ex","Y",878,884,1762,0,0,2,1,3,"Gd",6,0,"Attchd",2,591,"TA","TA",320,54,0,0
1469,136.5,37,4435,"Inside","1Story",6,5,2003,2003,"Gd","TA","PConc","Gd","TA","GLQ",686,162,848,"GasA","Ex","Y",848,0,848,1,0,1,0,1,"Gd",3,0,"Attchd",2,420,"TA","TA",140,0,0,0
2059,115,86,8665,"Inside","1Story",5,5,1968,1968,"TA","TA","CBlock","TA","TA","Rec",168,420,876,"GasA","TA","Y",897,0,897,0,0,1,0,3,"TA",5,0,"Attchd",1,264,"TA","TA",0,0,0,0
44,214,70,10171,"Inside","1Story",7,5,2004,2004,"Gd","TA","PConc","Gd","TA","GLQ",2,1515,1517,"GasA","Ex","Y",1535,0,1535,0,0,2,0,3,"Gd",7,0,"Attchd",2,532,"TA","TA",0,0,0,0
2013,113,51,6120,"Inside","1.5Unf",5,7,1939,1950,"Gd","TA","BrkTil","TA","TA","Unf",0,884,884,"GasA","Ex","Y",884,0,884,0,0,1,0,2,"TA",5,0,"Detchd",1,240,"TA","TA",0,0,136,0
2521,190,40,3874,"Inside","1Story",8,5,1980,1980,"Gd","TA","CBlock","Gd","TA","GLQ",807,419,1226,"GasA","TA","Y",1226,0,1226,1,0,1,0,1,"Gd",4,1,"Attchd",2,484,"TA","TA",133,78,0,0
1571,228.95,0,164660,"Corner","1.5Fin",5,6,1965,1965,"TA","TA","CBlock","TA","TA","ALQ",1249,103,1499,"GasA","Ex","Y",1619,167,1786,2,0,2,0,3,"TA",7,2,"Attchd",2,529,"TA","TA",670,0,0,0
1726,221.37,48,6240,"Inside","1Story",8,5,2006,2006,"Gd","TA","PConc","Gd","TA","GLQ",24,1300,1324,"GasA","Ex","Y",1324,0,1324,0,0,2,0,2,"Gd",6,1,"Attchd",2,550,"TA","TA",0,38,0,0
591,167.9,80,9650,"Inside","1Story",6,5,1977,1977,"TA","TA","CBlock","Gd","TA","ALQ",686,664,1350,"GasA","TA","Y",1334,0,1334,0,1,2,0,2,"TA",6,1,"Attchd",2,630,"TA","TA",0,16,0,0
2027,140,0,5700,"Corner","2Story",7,6,1929,1990,"TA","TA","BrkTil","TA","TA","Rec",336,336,672,"GasA","Gd","N",672,672,1344,1,0,1,1,3,"Gd",6,1,"Attchd",2,456,"TA","TA",0,0,70,0
753,104,92,5520,"Corner","2.5Fin",6,6,1912,1950,"TA","TA","CBlock","TA","TA","Unf",0,755,755,"GasA","Ex","Y",929,929,2229,0,0,1,0,5,"TA",8,0,"None",0,0,"None","None",0,198,30,0
40,290.941,94,12883,"Corner","1Story",8,5,2009,2010,"Gd","TA","PConc","Gd","TA","Unf",0,1544,1544,"GasA","Ex","Y",1544,0,1544,0,0,2,0,3,"Gd",7,0,"Attchd",3,868,"TA","TA",0,35,0,0
1145,175,75,8285,"Corner","2Story",7,5,1992,1992,"Gd","TA","PConc","Gd","TA","GLQ",397,439,836,"GasA","Gd","Y",844,893,1737,0,1,2,1,3,"Gd",7,0,"Attchd",2,506,"TA","TA",192,85,0,0
265,272,0,11423,"Inside","1Story",8,5,2001,2002,"Gd","TA","PConc","Gd","TA","GLQ",1358,223,1581,"GasA","Ex","Y",1601,0,1601,1,0,2,0,3,"Gd",6,1,"Attchd",2,670,"TA","TA",180,0,0,0
2765,190,0,36500,"Inside","1Story",5,5,1964,1964,"TA","Gd","CBlock","TA","TA","Rec",812,812,1624,"GasA","Fa","Y",1582,0,1582,0,1,2,0,4,"TA",7,0,"Attchd",2,390,"TA","TA",168,198,0,0
2858,140,60,9550,"Corner","2Story",7,5,1915,1970,"TA","TA","BrkTil","TA","Gd","ALQ",216,540,756,"GasA","Gd","Y",961,756,1717,1,0,1,0,3,"Gd",7,1,"Detchd",3,642,"TA","TA",0,35,272,0
2852,149,69,4899,"Corner","2Story",6,8,1920,1950,"TA","TA","PConc","TA","TA","BLQ",305,450,755,"GasA","Ex","Y",755,755,1510,0,0,1,0,3,"TA",6,0,"Detchd",1,216,"TA","TA",0,0,164,0
1140,182,65,8453,"Inside","2Story",6,5,1995,1995,"Gd","TA","PConc","Gd","TA","GLQ",362,392,754,"GasA","Ex","Y",754,855,1609,0,0,2,1,3,"Gd",6,0,"Attchd",2,525,"TA","TA",0,70,0,0
5,189.9,74,13830,"Inside","2Story",5,5,1997,1998,"TA","TA","PConc","Gd","TA","GLQ",791,137,928,"GasA","Gd","Y",928,701,1629,0,0,2,1,3,"TA",6,1,"Attchd",2,482,"TA","TA",212,34,0,0
2732,190,0,5271,"Inside","1Story",7,5,1986,1986,"TA","TA","PConc","Gd","TA","GLQ",1082,371,1453,"GasA","Gd","Y",1453,0,1453,1,0,1,1,2,"Gd",6,1,"Attchd",2,445,"TA","TA",0,80,0,184
1178,345,36,3951,"Inside","2Story",10,5,1998,1999,"Ex","TA","PConc","Gd","TA","BLQ",128,0,970,"GasA","Ex","Y",1469,924,2393,1,0,2,1,2,"Ex",7,1,"Attchd",2,846,"TA","TA",0,90,0,94
261,161.75,0,10900,"FR2","2Story",6,7,1977,1977,"TA","TA","CBlock","Gd","TA","GLQ",378,311,689,"GasA","Ex","Y",689,703,1392,0,0,1,1,3,"TA",6,0,"Attchd",1,299,"TA","TA",0,36,0,0
1831,171,0,16647,"CulDSac","SFoyer",5,5,1975,1981,"TA","TA","CBlock","Gd","TA","ALQ",1390,0,1390,"GasA","TA","Y",1701,0,1701,1,0,2,0,3,"TA",6,2,"Basment",2,611,"TA","TA",0,0,0,0
639,144,80,10400,"Corner","1Story",4,5,1956,1956,"TA","TA","CBlock","TA","TA","Rec",155,295,1200,"GasA","TA","Y",1200,0,1200,1,0,1,0,3,"TA",6,2,"Attchd",1,294,"TA","TA",0,189,140,0
1935,134.5,66,8923,"Inside","1Story",5,7,1953,2006,"TA","TA","CBlock","TA","TA","BLQ",643,365,1008,"GasA","Gd","Y",1008,0,1008,1,0,1,0,2,"Gd",6,0,"Attchd",1,240,"TA","TA",0,18,0,0
2627,93.5,60,8544,"Inside","1Story",3,4,1950,1950,"TA","TA","CBlock","None","None","None",0,0,0,"GasA","Gd","N",1040,0,1040,0,0,2,0,2,"TA",6,0,"Detchd",2,400,"TA","TA",0,0,0,0
1613,167,85,10628,"Inside","1Story",7,5,1970,1970,"TA","Gd","CBlock","TA","Gd","GLQ",778,499,1277,"GasA","TA","Y",1277,0,1277,1,0,1,0,2,"TA",5,1,"Attchd",2,526,"TA","TA",0,0,0,176
1428,228,59,11228,"CulDSac","2Story",7,5,1993,1993,"Gd","TA","PConc","Gd","TA","BLQ",50,499,1080,"GasA","Ex","Y",1080,1017,2097,0,1,2,1,3,"Gd",9,1,"Attchd",3,678,"TA","TA",196,187,0,0
2557,79.9,52,5825,"Inside","1Story",4,5,1926,1953,"TA","Gd","PConc","Fa","TA","Unf",0,600,600,"GasA","Gd","Y",747,0,747,0,0,1,0,1,"TA",5,0,"Detchd",2,528,"TA","TA",0,0,32,0
927,144.8,70,9100,"Inside","1Story",5,6,1954,1954,"TA","Gd","BrkTil","TA","TA","Rec",154,264,1112,"GasA","Ex","Y",1112,0,1112,1,0,1,0,2,"TA",6,1,"Attchd",1,390,"TA","TA",0,0,0,0
1082,219.99,0,3940,"Inside","1Story",7,5,2004,2004,"Gd","TA","PConc","Gd","TA","GLQ",1087,306,1393,"GasA","Ex","Y",1576,0,1576,1,0,2,0,2,"Gd",7,1,"Attchd",3,668,"TA","TA",143,20,0,0
192,128.5,53,5830,"Corner","1.5Fin",5,6,1950,1997,"TA","Gd","CBlock","TA","TA","Rec",788,200,988,"GasA","Ex","Y",1030,582,1612,0,0,1,1,3,"TA",7,0,"Detchd",1,363,"TA","TA",0,0,0,0
1993,114,35,4571,"Inside","2Story",5,7,1910,1950,"TA","TA","BrkTil","TA","TA","BLQ",168,448,616,"GasA","Ex","Y",616,616,1232,0,0,1,0,3,"TA",6,0,"Detchd",2,480,"Fa","Fa",280,0,143,0
1288,111,80,4800,"Inside","2Story",5,5,1910,2003,"TA","TA","BrkTil","TA","Fa","Unf",0,680,680,"GasA","Fa","N",680,680,1360,0,0,1,0,2,"TA",6,0,"Attchd",1,330,"Fa","TA",192,50,0,0
2068,165.25,70,6960,"Inside","1.5Fin",7,8,1940,1998,"TA","TA","BrkTil","TA","TA","ALQ",258,422,680,"GasA","Ex","Y",798,504,1302,0,0,1,1,2,"Gd",6,2,"Attchd",1,224,"TA","TA",0,0,0,126
1811,201,70,8462,"Inside","2Story",6,5,1994,1994,"Gd","Gd","PConc","Gd","Gd","GLQ",814,114,928,"GasA","Ex","Y",936,785,1721,0,1,2,1,3,"Gd",7,0,"Attchd",2,471,"TA","TA",300,87,0,0
2215,359.1,78,12168,"Inside","2Story",8,6,1934,1998,"TA","TA","PConc","Gd","TA","BLQ",428,537,965,"GasA","TA","Y",1940,1254,3194,0,0,2,1,4,"TA",10,2,"Basment",2,380,"TA","TA",0,0,0,0
325,139,94,9400,"Corner","2Story",6,5,1971,1971,"TA","TA","CBlock","TA","TA","Unf",0,912,912,"GasA","TA","Y",912,912,1824,0,0,2,2,4,"TA",8,0,"None",0,0,"None","None",128,0,0,0
1698,380,105,13693,"Inside","2Story",9,5,2006,2006,"Ex","TA","PConc","Gd","TA","Unf",0,2153,2153,"GasA","Ex","Y",2069,574,2643,0,0,2,1,3,"Ex",9,1,"BuiltIn",3,694,"TA","TA",414,84,0,0
2594,127,50,7500,"Inside","1.5Fin",6,6,1947,1950,"TA","TA","CBlock","TA","TA","Unf",0,784,784,"GasA","Ex","Y",900,412,1312,0,0,1,1,3,"TA",6,0,"Detchd",2,649,"TA","TA",0,28,0,0
646,115,60,10434,"Inside","1Story",4,5,1955,1955,"TA","TA","CBlock","TA","TA","Unf",0,1005,1005,"GasA","TA","Y",1005,0,1005,0,0,1,0,2,"Fa",5,1,"Detchd",2,672,"Fa","Fa",0,0,0,0
977,160,83,13383,"Inside","1Story",5,5,1969,2000,"TA","TA","CBlock","TA","TA","BLQ",594,594,1188,"GasA","Ex","Y",1404,0,1404,0,0,2,0,3,"TA",7,1,"Attchd",2,504,"TA","TA",0,16,0,0
1116,245,78,10206,"Inside","1Story",8,5,2007,2007,"TA","TA","PConc","Gd","TA","GLQ",33,1530,1563,"GasA","Ex","Y",1563,0,1563,0,0,2,0,3,"Gd",6,1,"Attchd",3,758,"TA","TA",144,99,0,0
2822,119.9,73,16133,"Inside","1Story",5,4,1969,1969,"TA","TA","CBlock","Gd","TA","ALQ",847,329,1176,"GasA","TA","Y",1176,0,1176,1,0,1,0,2,"TA",5,0,"Attchd",1,360,"TA","TA",0,92,0,112
70,262.5,75,9000,"Inside","1Story",8,5,2008,2008,"Gd","TA","PConc","Gd","TA","GLQ",1078,488,1566,"GasA","Ex","Y",1566,0,1566,1,0,2,0,3,"Gd",7,0,"Attchd",2,750,"TA","TA",144,168,0,0
2619,207.5,47,16321,"CulDSac","1Story",5,6,1957,1997,"TA","TA","CBlock","TA","TA","BLQ",1277,207,1484,"GasA","TA","Y",1600,0,1600,1,0,1,0,2,"TA",6,2,"Attchd",1,319,"TA","TA",288,258,0,0
603,140,0,9450,"Corner","1Story",4,5,1957,1957,"TA","TA","CBlock","TA","TA","BLQ",775,265,1040,"GasA","TA","Y",1362,0,1362,1,0,1,0,3,"TA",6,1,"Attchd",3,768,"TA","TA",0,0,84,0
1031,205,80,10480,"Inside","2Story",7,6,1976,1976,"TA","TA","CBlock","TA","TA","ALQ",403,400,803,"GasA","TA","Y",1098,866,1964,0,0,2,1,4,"TA",8,1,"Attchd",2,483,"TA","TA",0,69,0,0
2555,121.6,51,4712,"Inside","1.5Fin",4,7,1946,1950,"TA","TA","CBlock","TA","TA","ALQ",384,363,747,"GasA","TA","Y",774,456,1230,1,0,1,1,3,"TA",5,0,"Detchd",1,305,"TA","TA",0,57,0,63
1278,130,113,8513,"Corner","1Story",5,5,1961,1961,"TA","TA","CBlock","TA","TA","Unf",0,1800,1800,"GasA","TA","N",1800,0,1800,0,0,2,0,6,"TA",10,0,"None",0,0,"None","None",0,0,0,0
1148,193,50,8012,"Inside","1Story",6,5,1993,1994,"Gd","TA","PConc","Gd","TA","LwQ",165,598,1604,"GasA","Ex","Y",1617,0,1617,1,0,2,0,2,"Gd",5,1,"Attchd",2,533,"TA","TA",0,69,0,0
