Date,TurtleID,SiteName,TurtleSpecies,Day,Time,Recapture,Status,CaptureComment,Latitude,Longitude,Datum,LocationDescription,InsideSite,StudySite,CaptureMethod,Temp,SkyIndex,Weather,DaysSinceLastRain,EyeColor,LifeStage,Sex,Annuli,Mass,PhotoTaken,StraightlineCL,MaxCW,PL_AnteriortoHinge,PL_HingetoPosterior,Total_PL,ShellHeightatHinge,Habitat,Selected_InjuriesorDefects,InjuriesorDefects Notes,Selected_IllnessorHeatlth_Issues,IllnessorHealth_Issues_Notes,SelectedParasites,ParasitesNotes,Notes
8/9/2010,HIK,Piedmont Wildlife Center,TERCAR,Mon,11:00:00,N,Alive,NA,35.92332,-78.98199,WGS84,Intersection of inner and outer trails,Y,Leigh Farm,4,85,0,1,3,NA,Adult,Male,28,255,N,111,85,45,64,109,53,field/forest edge (within 6m of boundry),"Crushed or damaged carapace, Tooth marks on shell","A, B, C scutes missing. Minor damage on D. Two bite marks at September scute. Damage to W and X",NA,NA,NA,NA,NA
8/9/2010,AJM,Piedmont Wildlife Center,TERCAR,Mon,13:30:00,N,Alive,NA,35.92181,-78.98062,WGS84,next to dry stream where the tree with the poison ivy was; 30 yards into the game lands.,Y,Leigh Farm,4,91,3,1,3,NA,Adult,Male,30,460,N,119,104,48,75,123,67,field/forest edge (within 6m of boundry),"Crushed or damaged carapace, Crushed or damaged plastron","Hole on March scute, small hole on lower right plastron",None detected,NA,None detected,NA,NA
8/11/2010,AJN,Piedmont Wildlife Center,TERCAR,Wed,10:30:00,N,NA,NA,35.92151,-78.98194,WGS84,Behind the Fox Circle,Y,Leigh Farm,4,87,3,1,5,NA,Adult,Male,40,360,N,115,93,46,69,115,55,pine forest,"Crushed or damaged carapace, Crushed or damaged plastron",Damage on both the carapace and plastron. A very prominent bump on the back of the carapace,"Discharge from eyes, mouth, and/or nose",NA,None detected,NA,NA
8/13/2010,AJO,Piedmont Wildlife Center,TERCAR,Fri,13:00:00,N,Alive,NA,35.92214,-78.9818,WGS84,along the perimeter of the outdoor  turtle/lizard habitat,Y,Leigh Farm,4,85,2,1,2,NA,Adult,Male,34,240,Y,105,86,40,59,99,49,field/forest edge (within 6m of boundry),None seen,NA,None detected,NA,None detected,NA,found soon after new male turtle had been out in the enclosure
8/16/2010,AIW,Piedmont Wildlife Center,TERCAR,Mon,10:30:00,Y,Alive,NA,35.92509,-78.98306,WGS84,"Outer loop trail, next to water sewer line",Y,Leigh Farm,4,88,0,1,5,NA,Adult,Female,33,380,N,117,93,47,67,114,60,field/forest edge (within 6m of boundry),None seen,NA,None detected,NA,None detected,NA,NA
8/17/2010,HJK,Piedmont Wildlife Center,TERCAR,Tue,11:00:00,Y,Alive,NA,35.92268,-78.98409,WGS84,"Inner Loop trail, behind the ice house",Y,Leigh Farm,4,91,1,1,6,NA,Adult,Male,40,390,N,124,98,49,72,121,56,field/forest edge (within 6m of boundry),Crushed or damaged carapace,"B scute chipped completely away, minor chipping of scutes A,C, X, and W. Small hole in February scute",None detected,NA,None detected,NA,NA
8/19/2010,ACO,Piedmont Wildlife Center,TERCAR,Thu,11:00:00,Y,Alive,NA,35.92227,-78.98323,WGS84,Under grape arbor,Y,Leigh Farm,4,83,4,3,0,NA,Adult,Male,37,430,N,123,95,49,71,120,64,field/forest edge (within 6m of boundry),Tooth marks on shell,"chipping and discolouration Jan - April, and Sep - Dec. Tooth mark and missing chunk btwn A and X.",None detected,NA,None detected,NA,Strong and brave
8/20/2010,AJP,Piedmont Wildlife Center,TERCAR,Fri,11:40:00,N,Alive,NA,35.92327,-78.98379,WGS84,in woods near inner loop trail,Y,Leigh Farm,4,88,0,1,2,NA,Adult,Male,22,420,Y,127,102,52,75,127,60,hardwood forest,None seen,NA,None detected,NA,None detected,NA,NA
9/28/2010,AJV,Piedmont Wildlife Center,TERCAR,Tue,10:00:00,N,Alive,NA,35.92458,-78.98241,WGS84,Outer loop trail,Y,Leigh Farm,4,70,3,1,1,NA,Adult,Female,26,405,Y,130,99,50,75,125,59,forest wetland,Other,some discoloration/flaking on November scute. Slight chipping on ventral side of scutes L and M,None detected,NA,None detected,NA,Found mating with AJQ
9/28/2010,AJQ,Piedmont Wildlife Center,TERCAR,Tue,10:00:00,N,Alive,NA,35.92458,-78.98241,WGS84,Outer loop trail,Y,Leigh Farm,4,70,3,1,1,NA,Adult,Male,18,315,Y,122,94,49,70,119,56,forest wetland,Crushed or damaged carapace,small chip on scute P,None detected,NA,None detected,NA,Found mating with AJV
9/28/2010,AKL,Piedmont Wildlife Center,TERCAR,Tue,10:00:00,N,Alive,NA,35.92243,-78.98359,WGS84,field between co-op garden and farm house,Y,Leigh Farm,4,70,3,1,1,NA,Adult,Male,25,360,Y,127,98,48,71,119,58,field,Crushed or damaged carapace,"Minor chipping on edges of scutes I-K and M-P. Three small healed holes in August scute. Discoloration/flaking of March, April, August, November, and December scutes.",None detected,NA,None detected,NA,Very brave
9/28/2010,BCK,Piedmont Wildlife Center,TERCAR,Tue,10:00:00,Y,Alive,NA,35.92246,-78.98158,WGS84,in the ditch beside the toxic plant garden,Y,Leigh Farm,4,70,3,1,1,NA,Juvenile,Male,7,210,Y,104,82,44,61,105,51,field/forest edge (within 6m of boundry),Other,extra scute at M/N,None detected,NA,None detected,NA,NA
9/28/2010,AJW,Piedmont Wildlife Center,TERCAR,Tue,14:30:00,N,Alive,NA,35.92119,-78.97627,WGS84,Merganser trail,Y,Leigh Farm,4,75,3,1,1,NA,Juvenile,Female,5,80,Y,70,60,27,42,69,34,hardwood forest,None seen,NA,None detected,NA,None detected,NA,NA
9/30/2010,AOP,Piedmont Wildlife Center,TERCAR,Thu,16:00:00,N,Alive,NA,35.92096,-78.98342,WGS84,In Sarah's garden,Y,Leigh Farm,4,73,4,2,0,NA,Juvenile,Unknown,3,45,Y,55,49,22,30,52,25,field,None seen,NA,None detected,NA,None detected,NA,Very active
9/30/2010,HJK,Piedmont Wildlife Center,TERCAR,Thu,11:30:00,Y,Alive,NA,35.92134,-78.98358,WGS84,On the driveway between mailboxes and Sarah's house,Y,Leigh Farm,4,68,4,3,0,NA,Adult,Male,40,390,Y,124,98,49,72,121,56,field/forest edge (within 6m of boundry),Crushed or damaged carapace,"Large chips in scutes A, C, W, and X. Scute B is completely chipped off. Very small hole in February scute",None detected,NA,None detected,NA,NA
10/22/2010,AKM,Piedmont Wildlife Center,TERCAR,Fri,17:45:00,N,Alive,NA,35.92208,-78.98152,WGS84,forest to the right of the PWC Cabin,Y,Leigh Farm,4,66.7,0,1,2,NA,Juvenile,Unknown,4,70,Y,66,57,29,40,69,31,pine forest,None seen,NA,None detected,NA,None detected,NA,stayed in its shell
10/26/2010,OPQ,Piedmont Wildlife Center,TERCAR,Tue,10:15:00,Y,Alive,NA,35.92296,-78.9813,WGS84,near inner/outer loop intersection,Y,Leigh Farm,4,68,4,3,0,NA,Adult,Female,20,390,N,122,102,48,73,121,57,field/forest edge (within 6m of boundry),Crushed or damaged carapace,"very damaged, few scutes left",NA,NA,NA,NA,NA
4/4/2011,ABL,Piedmont Wildlife Center,TERCAR,Mon,14:45:00,Y,Alive,NA,35.92025,-78.98349,WGS84,in woods behind green house,Y,Leigh Farm,7,82,1,1,3,NA,Adult,Male,17,405,N,130,100,50,75,125,57,pine forest,NA,chew marks along outer scutes,NA,NA,NA,NA,"very active, urinated"
5/31/2011,AIQ,Piedmont Wildlife Center,TERCAR,Tue,10:30:00,Y,Alive,NA,35.92228,-78.98171,WGS84,Near screech owl cage on wood chip path.,Y,Leigh Farm,4,84,0,1,4,NA,Adult,Male,24,320,N,121,95,49,67,116,53,field/forest edge (within 6m of boundry),None seen,NA,None detected,NA,None detected,NA,NA
6/2/2011,AKN,Piedmont Wildlife Center,TERCAR,Thu,11:10:00,N,Alive,NA,35.92113,-78.98134,WGS84,"disc golf course, hole 4, near gravel road",Y,Leigh Farm,3,86.2,0,1,6,NA,Adult,Male,15,290,N,114,96,45,69,114,49,hardwood forest,None seen,NA,None detected,NA,None detected,NA,NA
6/8/2011,AKO,Piedmont Wildlife Center,TERCAR,Wed,15:55:00,N,Alive,NA,35.92116,-78.98147,WGS84,In pond by garden outside of center,Y,Leigh Farm,4,86,0,1,11,NA,Adult,Female,21,387,N,127,99,46,84,130,56,field/forest edge (within 6m of boundry),"Crushed or damaged carapace, Crushed or damaged plastron","Missing shell on F, chewed on pastron",None detected,NA,None detected,NA,NA
6/13/2011,ABP,Piedmont Wildlife Center,TERCAR,Mon,16:30:00,Y,Alive,NA,35.92116,-78.98147,WGS84,In turtle pond by the side of garden by cabin,Y,Leigh Farm,4,81.1,2,1,1,NA,Adult,Female,19,435,N,124,98,46,77,123,62,other,"Crushed or damaged plastron, Missing digits, and/or limbs","amputated back right leg, very jagged marginal scoots, and old cracks on plastron",None detected,NA,None detected,NA,NA
6/17/2011,BCL,Piedmont Wildlife Center,TERCAR,Fri,11:00:00,N,Alive,NA,35.92234,-78.98162,WGS84,Creek Bed,Y,Leigh Farm,4,94,4,1,5,NA,Adult,Female,20,150,N,83,67,35,50,85,45,stream river,Crushed or damaged carapace,"cracked carapace, part of shell missing in the front",None detected,NA,None detected,NA,Very Active
6/17/2011,AJQ,Piedmont Wildlife Center,TERCAR,Fri,11:00:00,Y,Alive,NA,NA,NA,WGS84,Creek Bed,Y,Leigh Farm,4,94,4,1,5,NA,Adult,Male,30,337,N,121,91,47,69,116,55,stream river,None seen,NA,None detected,NA,None detected,NA,NA
6/21/2011,CHO,Piedmont Wildlife Center,TERCAR,Tue,10:30:00,N,Alive,NA,35.92111,-78.98226,WGS84,Hole 2 of the Disc Golf Course,Y,Leigh Farm,3,83,4,1,3,NA,Adult,Female,21,442,N,121,99,50,74,124,64,forest wetland,Crushed or damaged carapace,some of her scutes are jagged and deformed,None detected,NA,None detected,NA,Outside is very smokey from eastern North Carolina forest fires
6/22/2011,BIN,Piedmont Wildlife Center,TERCAR,Wed,13:30:00,N,Alive,NA,NA,NA,WGS84,"Beside cabin, next to compost area.",Y,Leigh Farm,4,92.3,2,1,4,NA,Adult,Male,24,370,Y,136,103,50,75,125,59,field/forest edge (within 6m of boundry),None seen,NA,Other,Bacteria on hind end,None detected,NA,Did not come out of shell very much.
6/23/2011,HIJ,Piedmont Wildlife Center,TERCAR,Thu,10:30:00,Y,Alive,NA,35.9204,-78.98302,WGS84,Woods behind Sarah's house,Y,Leigh Farm,3,82.6,4,1,5,NA,Adult,Male,25,190,N,103,81,41,59,100,48,forest wetland,Crushed or damaged carapace,NA,None detected,NA,None detected,NA,NA
7/5/2011,AJL,Piedmont Wildlife Center,TERCAR,Tue,3:30:00,Y,Alive,NA,35.92244,-78.98143,WGS84,beside cabin near turtle pond,Y,Leigh Farm,4,83,3,1,0,NA,Adult,Female,21,455,N,137,106,52,79,131,63,field/forest edge (within 6m of boundry),NA,bacteria on shell,NA,NA,NA,NA,"very antsy, would not stop moving"
7/5/2011,AJL,Piedmont Wildlife Center,TERCAR,Tue,3:30:00,Y,Alive,NA,35.92244,-78.98143,WGS84,beside cabin near turtle pond,Y,Leigh Farm,4,83.3,3,1,0,NA,Adult,Female,21,455,N,137,106,52,79,131,63,field/forest edge (within 6m of boundry),Crushed or damaged carapace,some bacteria on front of carapace,None detected,NA,None detected,NA,NA
7/13/2011,ABV,Piedmont Wildlife Center,TERCAR,Wed,10:30:00,Y,Alive,NA,NA,NA,WGS84,under log near fox walker circle,Y,Leigh Farm,4,89,0,1,3,NA,Adult,Male,20,260,N,115,92,65,71,136,51,hardwood forest,NA,NA,NA,NA,NA,NA,NA
7/15/2011,ABX,Piedmont Wildlife Center,TERCAR,Fri,3:30:00,Y,Alive,NA,NA,NA,WGS84,"Off trail, between hole 1 and 2",Y,Leigh Farm,3,80,0,1,NA,NA,Adult,Male,26,430,N,132,93,61,84,145,56,pine forest,NA,NA,NA,NA,NA,NA,eating mushroom when found
7/21/2011,AKW,Piedmont Wildlife Center,TERCAR,Thu,3:40:00,N,Alive,NA,35.92194,-78.98302,WGS84,On creeper trail eating a mushroom,Y,Leigh Farm,4,92.1,1,1,0,NA,Juvenile,Male,15,100,N,82,66,32,49,81,38,field/forest edge (within 6m of boundry),None seen,NA,None detected,NA,None detected,NA,NA
7/22/2011,AKX,Piedmont Wildlife Center,TERCAR,Fri,11:28:00,N,Alive,NA,35.92024,-78.98052,WGS84,Woods by Artemis Camp,Y,Leigh Farm,4,95,0,1,1,NA,Adult,Male,21,400,N,122,100,56,81,137,56,hardwood forest,NA,some bacteria on back lower end of shell,None detected,NA,None detected,NA,extremely shy
7/25/2011,CIP,Piedmont Wildlife Center,TERCAR,Mon,12:00:00,N,Alive,NA,35.92295,-78.98253,WGS84,at the opening of the outer loop trail,Y,Leigh Farm,4,91,2,1,1,NA,Adult,Female,15,330,N,111,91,45,68,113,58,field/forest edge (within 6m of boundry),Crushed or damaged carapace,chewed up front scoots,None detected,NA,None detected,NA,NA
7/26/2011,ACL,Piedmont Wildlife Center,TERCAR,Tue,10:00:00,Y,Alive,NA,35.92326,-78.98233,WGS84,Next to the Council Oak circle,Y,Leigh Farm,4,78.8,4,1,0,NA,Adult,Male,24,270,N,110,89,44,62,106,52,hardwood forest,None seen,NA,None detected,NA,None detected,NA,NA
7/26/2011,ABI,Piedmont Wildlife Center,TERCAR,Tue,11:50:00,Y,Alive,NA,35.92179,-78.98092,WGS84,NA,Y,Leigh Farm,4,78.6,4,1,0,NA,Adult,Female,14,325,N,114,95,46,69,115,61,stream river,"Missing digits, and/or limbs, Other",Amputated left leg and tumor on the left side of her neck,None detected,NA,None detected,NA,NA
7/26/2011,ACL,Piedmont Wildlife Center,TERCAR,Tue,10:00:00,Y,Alive,NA,35.92326,-78.98233,WGS84,next to the council oak circle,Y,Leigh Farm,4,79,4,1,0,NA,Adult,Male,24,270,N,111,89,44,62,106,53,hardwood forest,NA,flakes of shell on each scoot,NA,NA,NA,NA,data from this catch and first catch in 2009 are not matching up well
7/29/2011,ALM,Piedmont Wildlife Center,TERCAR,Fri,2:00:00,N,Alive,NA,35.92567,-78.98245,WGS84,Outer loop trail near houses,Y,Gamelands,4,99,1,1,3,NA,Adult,Female,30,345,N,105,89,40,66,106,56,hardwood forest,None seen,NA,None detected,NA,None detected,NA,NA
7/29/2011,AOQ,Piedmont Wildlife Center,TERCAR,Fri,9:30:00,N,Alive,NA,35.92572,-78.98242,WGS84,outer trail loop by houses,Y,Gamelands,4,99,1,1,3,NA,Adult,Female,15,150,N,99,78,39,54,93,45,pine forest,NA,NA,NA,NA,NA,NA,has extra scute
8/1/2011,AMN,Piedmont Wildlife Center,TERCAR,Mon,11:30:00,N,Alive,NA,35.92494,-78.98225,WGS84,Behind housing development in forested wetland,Y,Gamelands,4,85.8,0,1,0,NA,Adult,Male,25,435,N,131,104,52,75,127,58,forest wetland,None seen,NA,None detected,NA,None detected,NA,Very manly turtle
8/2/2011,HOP,Piedmont Wildlife Center,TERCAR,Tue,3:15:00,N,Alive,NA,35.92093,-78.98236,WGS84,forested wetland next to golf course,Y,Leigh Farm,4,92.8,1,1,2,NA,Adult,Female,20,280,N,110,86,42,65,107,56,forest wetland,"Crushed or damaged carapace, Missing digits, and/or limbs","Chewed front scoots, missing digits on front left leg",None detected,NA,None detected,NA,NA
8/2/2011,ACK,Piedmont Wildlife Center,TERCAR,Tue,3:20:00,Y,Alive,NA,35.92095,-78.98211,WGS84,wetland next to disc golf course,Y,Leigh Farm,4,92.8,1,1,2,NA,Adult,Male,15,365,N,121,98,50,69,119,55,forest wetland,None seen,NA,None detected,NA,None detected,NA,Trying to mate
8/3/2011,BCP,Piedmont Wildlife Center,TERCAR,Wed,11:30:00,N,Alive,NA,35.9223,-78.98011,WGS84,behind cabin near big swimming hole,Y,Gamelands,4,102,1,1,3,NA,Adult,Male,19,230,N,105,85,43,59,102,50,hardwood forest,None seen,NA,None detected,NA,None detected,NA,NA
8/9/2011,BIV,Piedmont Wildlife Center,TERCAR,Tue,11:30:00,N,Alive,NA,35.92224,-78.98018,WGS84,Over by big swimming hole; near housing development and behind cabin.,Y,Gamelands,4,91,1,1,NA,NA,Adult,Male,20,340,N,120.96,95.32,51.52,73.05,124.57,53.56,forest wetland,None seen,NA,None detected,NA,None detected,NA,NA
8/12/2011,AOW,Piedmont Wildlife Center,TERCAR,Fri,NA,N,Alive,NA,35.92175,-78.98187,WGS84,NA,Y,Leigh Farm,4,NA,NA,1,NA,NA,Adult,Male,20,350,N,118.78,97.01,49.93,67.52,117.45,54.67,hardwood forest,None seen,NA,None detected,NA,None detected,NA,Transmitter applied to January scute
8/22/2011,AMN,Piedmont Wildlife Center,TERCAR,Mon,12:10:00,N,Alive,NA,35.92311,-78.98217,WGS84,beginning of outer loop trail at the sign,Y,Leigh Farm,4,86,2,1,1,NA,Adult,Male,17,280,N,112,89,48,66,114,53,pine forest,NA,NA,NA,NA,NA,NA,NA
8/25/2011,BCN,Piedmont Wildlife Center,TERCAR,Thu,9:30:00,N,Alive,NA,35.92214,-78.98345,WGS84,near large garden (bountiful backyards),Y,Leigh Farm,4,80,0,1,4,NA,Adult,Male,21,375,N,120,102,46,67,113,55,field,NA,scutes A and X chewed,NA,NA,NA,NA,NA
8/30/2011,AMQ,Piedmont Wildlife Center,TERCAR,Tue,10:30:00,N,Alive,NA,35.92213,-78.98317,WGS84,by frisbee golf hole #3,Y,Leigh Farm,4,74,1,1,1,NA,Adult,Male,19,325,N,114,78,48,75,123,57,forest wetland,NA,NA,NA,NA,NA,NA,NA
8/31/2011,AIV,Piedmont Wildlife Center,TERCAR,Wed,10:00:00,Y,Alive,NA,35.9223,-78.983,WGS84,at carriage house,Y,Leigh Farm,4,74,0,1,2,NA,Adult,Female,17,310,N,109,82,43,64,107,61,field/forest edge (within 6m of boundry),NA,lumpy carapace,NA,NA,NA,NA,NA
9/12/2011,BCV,Piedmont Wildlife Center,TERCAR,Mon,14:00:00,N,Alive,NA,35.92668,-78.9831,WGS84,gamelands,Y,Gamelands,4,83,0,1,NA,NA,Adult,Male,16,345,N,124,103,48,71,119,55,forest wetland,NA,5,NA,NA,NA,NA,found next to Bethany (ALM)
9/12/2011,BCQ,Piedmont Wildlife Center,TERCAR,Mon,14:00:00,N,Alive,NA,35.92668,-78.9831,WGS84,gamelands,Y,Gamelands,4,83,0,1,NA,NA,Juvenile,Male,7,135,N,92,21,34,52,86,43,forest wetland,NA,Scute L consists of 2 scutes,NA,NA,NA,NA,Found next to Bethany (ALM)
9/15/2011,BHL,Piedmont Wildlife Center,TERCAR,Thu,10:36:00,N,Alive,NA,35.92147,-78.98222,WGS84,"Off trail, between hole 1 and 2",Y,Leigh Farm,4,80,0,1,NA,NA,Adult,Male,26,430,N,132,93,61,84,145,56,pine forest,None seen,NA,None detected,NA,None detected,NA,Found with CHO
9/22/2011,BIX,Piedmont Wildlife Center,TERCAR,Thu,16:30:00,N,Alive,NA,35.92082,-78.98325,WGS84,Sarah's garden,Y,Leigh Farm,4,82.8,4,1,0,NA,Juvenile,Male,8,100,N,81,66,35,48,83,38,field/forest edge (within 6m of boundry),Crushed or damaged carapace,"damaged ""L"" scute",NA,NA,NA,NA,NA
9/27/2011,AOX,Piedmont Wildlife Center,TERCAR,Tue,9:10:00,N,Alive,NA,35.92577,-78.98314,WGS84,"in gamelands, just past open area off outer loop",Y,Gamelands,4,76.6,1,2,0,NA,Adult,Male,22,350,N,120,97,48,65,113,54,forest wetland,NA,big dent,NA,NA,NA,NA,NA
9/27/2011,IJK,Piedmont Wildlife Center,TERCAR,Tue,9:30:00,N,Alive,NA,34.32188,-79.02224,WGS84,near edge of gamelands/open area,Y,Gamelands,4,76.6,4,2,0,NA,Hatchling,Unknown,3,25,N,46,42,19,24,43,21,forest wetland,NA,orange coloration,NA,NA,NA,NA,walking when found
10/3/2011,CPQ,Piedmont Wildlife Center,TERCAR,Mon,12:30:00,N,Alive,NA,35.92462,-78.98339,WGS84,"under a log by the Sun Circle, which is off the Outer Loop at the end of the walkway",Y,Leigh Farm,4,66,1,1,3,NA,Adult,Male,13,410,Y,127,102,48,68,116,61,forest wetland,Tooth marks on shell,"has teeth marks on scutes A, B, K, L, M, N, O, W & X.  The keratin on scutes K, L, M, N & O are worn down.",None detected,NA,None detected,NA,stayed in shell most of the time
10/6/2011,BCO,Piedmont Wildlife Center,TERCAR,Thu,11:15:00,N,Alive,NA,35.92587,-78.98431,WGS84,off oxen trail,Y,Leigh Farm,4,72,1,1,NA,NA,Adult,Male,15,280,N,114,83,54,68,122,46,pine forest,Crushed or damaged carapace,missing part of scute,NA,NA,NA,NA,NA
10/10/2011,BMP,Piedmont Wildlife Center,TERCAR,Mon,14:05:00,Y,Alive,NA,35.92227,-78.98215,WGS84,near raptor cages,Y,Leigh Farm,4,66.9,3,1,NA,NA,Adult,Male,15,350,N,130,99,49,70,119,61,pine forest,Crushed or damaged carapace,"damage to posterior right side of carapace, presumably an old injury",NA,NA,NA,NA,moving towards AOW
10/17/2011,AJN,Piedmont Wildlife Center,TERCAR,Mon,13:50:00,Y,Alive,NA,35.92162,-78.98202,WGS84,near survival shelter,Y,Leigh Farm,4,79.2,0,1,NA,NA,Adult,Male,19,340,N,118,93,46,68,114,54,pine forest,NA,plastron has many scars,NA,NA,NA,NA,NA
5/25/2012,LOV,Piedmont Wildlife Center,TERCAR,Fri,15:00:00,N,Alive,NA,35.92479,-78.98519,WGS84,Oxgate and outer loop.,Y,Leigh Farm,4,80,2,1,2,NA,Adult,Female,25,350,N,118,98,54,80,134,64,hardwood forest,None seen,NA,None detected,NA,None detected,NA,NA
5/30/2012,BIP,Piedmont Wildlife Center,TERCAR,Wed,13:14:00,N,Alive,NA,35.9223,-78.98143,WGS84,Below/directly behind Miracle's cage near Cabin.,Y,Leigh Farm,4,72,2,2,0,NA,Adult,Female,19,230,N,106.6,84,43,63,106,56.1,field/forest edge (within 6m of boundry),Other,"Scrapes on March, April, October, November, and most posterior vertebral scutes.",None detected,NA,None detected,NA,Placed transmitter
6/26/2012,JNX,Piedmont Wildlife Center,TERCAR,Tue,16:00:00,N,Alive,NA,35.92842,-78.98376,WGS84,Wood's edge - fire circle.,Y,Leigh Farm,4,NA,0,1,2,NA,Adult,Male,16,400,N,127.5,107.5,51.87,76.2,128.07,60,field/forest edge (within 6m of boundry),None seen,NA,None detected,NA,None detected,NA,NA
7/24/2012,MOP,Piedmont Wildlife Center,TERCAR,Tue,12:20:00,N,Alive,NA,35.92449,-78.98286,WGS84,"Off trail, underneath a fallen branch.",Y,Leigh Farm,3,90,1,1,1,NA,Adult,Male,19,309,N,112.3,88.3,44.5,65.2,109.7,54.6,hardwood forest,None seen,NA,None detected,NA,None detected,NA,Shy initially but warmed up quickly.  Active.  Marked as code M-O-P on marginal scutes.
7/25/2012,INO,Piedmont Wildlife Center,TERCAR,Wed,10:26:00,N,Alive,NA,35.92345,-78.98063,WGS84,Trail behind houses near sewer line in gamelands.,Y,Gamelands,4,81,3,1,0,NA,Juvenile,Female,5,50,N,60.5,46.3,20.9,31.7,52.6,27.1,hardwood forest,"Crushed or damaged carapace, Missing digits, and/or limbs",Vertebral scutes zigzag; missing two claws on left front leg (middle and ring).,None detected,NA,None detected,NA,Did not hide in shell; very active.
7/25/2012,JNP,Piedmont Wildlife Center,TERCAR,Wed,10:26:00,N,Alive,NA,35.92345,-78.98063,WGS84,trail behind houses near sewer line creek (game lands),Y,Gamelands,4,81,3,1,0,NA,Juvenile,Female,5,50,N,60.5,46.3,20.9,31.7,52.6,27.1,hardwood forest,"Crushed or damaged carapace, Missing digits, and/or limbs",spine zig-zags; missing two claws (middle & ring on left front leg),None detected,NA,None detected,NA,"does not hide in shell, active (ready to run)"
7/26/2012,HIM,Piedmont Wildlife Center,TERCAR,Thu,10:08:00,N,Alive,NA,35.91992,-78.98084,WGS84,Trail behind business buildings off of gravel trail.,Y,Leigh Farm,4,85,0,1,0,NA,Adult,Male,16,415,N,122.75,99.32,47.25,72.52,119.77,54.31,hardwood forest,Crushed or damaged carapace,Slight gnawing on B marginal and June vertebral scutes; healed.,None detected,NA,None detected,NA,Very shy.
8/7/2012,BMN,Piedmont Wildlife Center,TERCAR,Tue,11:11:00,N,Alive,NA,35.92079,-78.98351,WGS84,By Sarah's house in brush.,Y,Leigh Farm,4,76,4,2,0,NA,Adult,Female,9,130,Y,89.41,68.2,36.3,48.73,85.03,43.73,field/forest edge (within 6m of boundry),None seen,NA,None detected,NA,None detected,NA,Active.  Marked as BMN.
8/8/2012,LOP,Piedmont Wildlife Center,TERCAR,Wed,13:55:00,N,Alive,NA,35.92815,-78.98356,WGS84,Bethany's woods near old fire pit (near highway),Y,Leigh Farm,3,82,3,1,0,NA,Adult,Female,17,330,N,113.93,96.73,47.85,66.74,114.59,51.99,mixed pine/hardwood forest,None seen,NA,None detected,NA,None detected,NA,Very shy.
8/8/2012,NOP,Piedmont Wildlife Center,TERCAR,Wed,14:43:00,N,Alive,NA,35.92543,-78.9846,WGS84,On trail toward Bethany's woods near campsite.,Y,Leigh Farm,4,84,2,1,0,NA,Adult,Male,10,175,N,98.6,71.6,42.26,53.3,95.56,46.67,hardwood forest,None seen,NA,None detected,NA,None detected,NA,Shy.
8/20/2012,HIV,Piedmont Wildlife Center,TERCAR,Mon,15:30:00,N,Alive,NA,35.92116,-78.98199,WGS84,NA,Y,Leigh Farm,4,80,3,1,0,NA,Adult,Female,9,147,Y,87.12,70.05,37.71,51.92,89.63,40.86,hardwood forest,None seen,NA,Other,"tumors/growths on 'ears',  right tumor larger than left.",None detected,NA,"took to TWH, no retreat of head into shell (unable because of tumor?)"
8/22/2012,BHM,Piedmont Wildlife Center,TERCAR,Wed,11:30:00,N,Alive,NA,35.92294,-78.98466,WGS84,"under dirt, off inner loop",Y,Leigh Farm,4,79,4,1,0,NA,Adult,Male,11,92,Y,76.4,65.76,32.03,43.4,75.43,37.1,hardwood forest,None seen,NA,None detected,NA,None detected,NA,NA
8/22/2012,BHV,Piedmont Wildlife Center,TERCAR,Wed,11:00:00,N,Alive,NA,35.92356,-78.98294,WGS84,"off inner loop, down hill",Y,Leigh Farm,4,79,4,1,0,NA,Juvenile,Male,5,118,Y,82.35,69.38,34.81,47.56,82.37,39.06,hardwood forest,Other,slight discoloration on scutes M-Q,None detected,NA,None detected,NA,under log
8/23/2012,COP,Piedmont Wildlife Center,TERCAR,Thu,11:00:00,N,Alive,NA,35.92202,-78.98203,WGS84,just past vulture cage,Y,Leigh Farm,4,80,3,1,1,NA,Adult,Female,20,140,N,92.5,73.75,36.75,54.15,90.9,44.5,pine forest,None seen,NA,None detected,NA,None detected,NA,"very active, bites"
8/28/2012,AKO,Piedmont Wildlife Center,TERCAR,Tue,10:00:00,Y,Alive,NA,35.9226,-78.98172,WGS84,outside hawk fence,Y,Leigh Farm,4,74,2,1,4,NA,Adult,Male,20,375,N,127.5,100,48,74.15,122.15,57.5,field/forest edge (within 6m of boundry),NA,cranial-caudal line of plastron is crooked,None detected,NA,None detected,NA,NA
9/5/2012,HJX,Piedmont Wildlife Center,TERCAR,Wed,14:55:00,N,Alive,NA,35.92557,-78.9843,WGS84,off outer loop,Y,Leigh Farm,4,83,2,1,2,NA,Adult,Male,30,410,Y,122,99,50.5,71,121.5,64.5,hardwood forest,None seen,NA,None detected,NA,None detected,NA,NA
9/26/2012,CHJ,Piedmont Wildlife Center,TERCAR,Wed,12:40:00,N,Alive,NA,35.92204,-78.98126,WGS84,edge of forest in tall grass,Y,Leigh Farm,4,77,0,1,7,NA,Adult,Female,9,165,N,89.86,75.6,37.5,55.02,92.52,43.8,field/forest edge (within 6m of boundry),None seen,NA,None detected,NA,None detected,NA,mounting other marked turtle AOW
